FECHA;ESCENARIO;;SALA GAYARRE;;S.E.P.E;;SALA BALLET;;SALA DE ORQUESTA                                       SALA DE CORO;;OTRAS SALAS;
SEMANA Nº45   PROVISIONAL;;;;;;;;;;;;
;;           Colgado y Montaje Escenografía + Suelo + Torres;;;;;;;SALA DE CORO;;;
;10.00-10.25h;PAUSA TECNICA;;;;;;;11.00-14.00h;E. Musical Coro;;
;10.00-10.30h;VISITA GENERAL;;;;;;;16.00-19.00h;E. Musical Coro;;
;10.30-14.30h;Descarga Camiones 5 y 6 - continuación;;;;;;;;;;
;;Montaje BALLET SWAN LAKE - continuación;;;;;;;;;;
;14.00-14.30h;Prueba de Sonido ;;;;;;;;;;
;14.30-15.00h;PAUSA TECNICA;;;;;;;;;;
;15.00-16.00h;Montaje BALLET SWAN LAKE - continuación;;;;;;;;;;
;15.30-16.00h;Montaje BALLET SWAN LAKE - continuación;;;16.00-19.00h;E.Piano CARMEN;;;;;;
;16.00-18.30h ;Grabación Técnica BALLET SWAN LAKE;;;;;;;;;;
;18.30-19.00h;PAUSA TECNICA;                                              ;;;;;;;;;
;19.00-22.00h;Grabación Técnica BALLET SWAN LAKE;;;;;;;;;;
;22.00h;Fin Jornada Personal BALLET SWAN LAKE;;;;;;;;;;
;22.00h;Salida Camiones 5 y 6 del TR;;;;;;;;;;
;22.00-22.30h;PAUSA TECNICA;;;;;;;;;;
Nov. 2025 ;22.30-23.15h;Ajustes Técnicos BALLET SWAN LAKE;;;;;;;;;;
;23.15-23.30h;Recogida y finalización actividad;;;;;;;;;;
Miércoles;;;;;;;;;;;;
;08.00-09.00h;Preparación Actividad;;;11.00-14.00h;E.Piano CARMEN;RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          BALLET SWAN LAKE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              COMPAÑÍA MATTHEW BOURNE;;SALA DE ORQUESTA;;SALÓN DE BAILE;
;09.00h;Inicio jornada personal BALLET SWAN LAKE;;;;;;;;;20.00h;Flamenco Real 2         1/3
19;09.00-10.00h;Preparación Pasada con Regidor BALLET SWAN LAKE;;;;;;;10.00-14.00h ;AUDICIONES ARTISTICAS;;Salomé Ramírez & Miguel Ángel Heredia
;10.00-10.25h;PAUSA TECNICA;;;;;;;;;;
;10.00-10.30h;VISITA GENERAL;;;;;;;;;;
;10.30-11.30h;E. Técnico BALLET SWAN LAKE (Dry Rehearsal);;;;;;;SALA DE CORO;;;
;11.30-12.00h ;Preparación Ensayo BALLET SWAN LAKE;;;;;;;11.00-14.00h;E. Musical Coro;;
;12.00-13.00h;PAUSA COMPAÑÍA SWAN LAKE;;;;;;;16.00-19.00h;E. Musical Coro;SALÓN FALLA ;
;13.00-14.30h;E. GENERAL BALLET SWAN LAKE (1a Parte);;;;;;;;;11.00h;FIRMA INSTITUCIONAL 
;;Con vestuario;;;;;;;;;;(Patrocinio)
;14.30-15.00h;PAUSA TECNICA;;;;;;;;;;
;15.00-15.20h;Preparación Ensayo BALLET SWAN LAKE;;;;;;;;;;
;15.20-17.00h;E. GENERAL BALLET SWAN LAKE (2a Parte);;;;;;;;;;
;;Con vestuario;;;;;;;;;;
;17.00-17.30h;Preparación Función + Limpieza;;;16.00-19.00h;E.Piano CARMEN;;;;;;
;17.30-18.30h;PAUSA COMPAÑÍA SWAN LAKE;;;;;;;;;;
;18.00-18.30h;PAUSA TECNICA;;;;;;;;;;
;19.00h;BALLET SWAN LAKE               1/5                                                                                         COMPAÑÍA DE MATTHEW BOURNE    ;;;;;;;;;;
Nov. 2025 ;;;;;;;;;;;;
;a 00.00h;Recogida y finalización actividad;;;;;;;;;;
Jueves;00.00-07.00h;;;;;;;;;;;
;07.00-08.00h;Hora extra;;;;;;;;;;
;08.00-08.30h;Preparación Actividad;;;11.00-14.00h;E.Piano CARMEN;RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          BALLET SWAN LAKE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              COMPAÑÍA MATTHEW BOURNE;;SALA DE ORQUESTA;;SALÓN DE BAILE;
20;08.30-10.00h;Montaje - 16 CARMEN;;;;;;;10:00-24:00;EVENTO LG;20.00h;Flamenco Real 2        2/3
;08.30-10.00h;Preparación EVENTO CEOE;;;;;;;;;;Salomé Ramírez & Miguel Ángel Heredia
;10.00-10.25h;PAUSA TECNICA;;;;;;;;;;
;10.00-10.30h;VISITA GENERAL;;;;;;;SALA DE CORO;;CINE -1;
;;;;;;;;;;;10.00h;Encuentros con la Dirección Artística: Ariadna & Barbazul & Enemigo del Pueblo
;;EVENTO CEOE;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;14.30-15.00h;PAUSA TECNICA;;;;;;;;;;
;15.00-16.00h;Preparación Función;;;;;;;;;;
;16.00-18.00h;Preparación Función + Limpieza;;;16.00-19.00h;E.Piano CARMEN;;;;;;
;18.00-18.30h;PAUSA TECNICA;;;;;;;;;;
;19.00h;BALLET SWAN LAKE               2/5                                                                                         COMPAÑÍA DE MATTHEW BOURNE    ;;;;;;;;;;
Nov. 2025 ;;;;;;;;;;;;
;a 23.30h;Recogida y finalización actividad;;;;;;;;;;
Viernes;;;;;;;;;;;;
;08.00-08.30h;Preparación Actividad;;;11.00-14.00h;E.Piano CARMEN;RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          BALLET SWAN LAKE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              COMPAÑÍA MATTHEW BOURNE;;SALA DE ORQUESTA;;SALÓN DE BAILE;
21;08.30-10.00h;Montaje - 16 CARMEN;;;;;;;;;20.00h;Flamenco Real 2        3/3
;08.30-10.00h;Preparación Clase BALLET SWAN LAKE;;;;;;;;;;Salomé Ramírez & Miguel Ángel Heredia
;10.00-10.25h;PAUSA TECNICA;;;;;;;;;;
;10.00-10.30h;VISITA GENERAL;;;;;;;SALA DE CORO;;;
;Hora a confirmar;CLASE BALLET SWAN LAKE;;;;;;;;;;
;;;;;;;;;;;;
;14.30-15.00h;PAUSA TECNICA;;;;;;;;;;
;15.00-16.00h;Preparación Función;;;;;;;;;;
;16.00-18.00h;Preparación Función + Limpieza;;;16.00-19.00h;E.Piano CARMEN;;;;;;
;18.00-18.30h;PAUSA TECNICA;;;;;;;;;;
;19.00h;BALLET SWAN LAKE               3/5                                                                                         COMPAÑÍA DE MATTHEW BOURNE    ;;;;;;;;;;
Nov. 2025 ;;;;;;;;;;;;
;a 23.30h;Recogida y finalización actividad;;;;;;;;;;
