FECHA,ESCENARIO,Unnamed: 2,SALA GAYARRE,Unnamed: 4,S.E.P.E,Unnamed: 6,SALA BALLET,Unnamed: 8,SALA DE ORQUESTA                                       SALA DE CORO,Unnamed: 10,OTRAS SALAS,Unnamed: 12
SEMANA Nº23   PROVISIONAL,,,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-16.30h,Preparación ensayo,,,,,,,,,,
,16.30-17.00h,Limpieza,,,,,,,,,,
,17.00-22.00h,E.Piano IL TROVATORE (1),,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Jun. 2026   ,22.30-23.15h,Ajustes Técnicos IL TROVATORE,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Viernes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje IL TROVATORE                               Montaje 1º OPERA TEMPORADA 2026/2027,,RESERVADA                                                                                                             IL TROVATORE,,SALA DE ORQUESTA,,,
19,08.30-10.00h,Dirección Luces IL TROVATORE,,,,,,,11.00-14.00h,L.O.  IL TROVATORE (3),,
,08.30-14.30h,Montaje -16       1ªOPERA TEMPORADA 26/27,,,,,,,16.00-19.00h,L.O.  IL TROVATORE (4),,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Dirección Luces IL TROVATORE,,,,,,,13.00-15.00h,E. Musical CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-16.30h,Preparación ensayo,,,,,,,,,,
,16.30-17.00h,Limpieza,,,,,,,,,,
,17.00-22.00h,E.Piano IL TROVATORE (2),,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Jun. 2026   ,22.30-23.15h,Ajustes Técnicos IL TROVATORE,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Sábado,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje IL TROVATORE                               Montaje 1º OPERA TEMPORADA 2026/2027,,RESERVADA                                                                                                             IL TROVATORE,,SALA DE ORQUESTA,,,
20,08.30-10.00h,E. Luces IL TROVATORE,,,,,,,11.00-14.00h,L.O.  IL TROVATORE (5),,
,08.30-14.30h,Montaje -16       1ªOPERA TEMPORADA 26/27,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E. Luces IL TROVATORE,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-16.30h,Preparación ensayo,,,,,,,,,,
,16.30-17.00h,Limpieza,,,,,,,,,,
,17.00-22.00h,E.Piano IL TROVATORE (3),,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Jun. 2026   ,22.30-23.15h,Ajustes Técnicos IL TROVATORE,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Domingo,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje IL TROVATORE                               Montaje 1º OPERA TEMPORADA 2026/2027,,RESERVADA                                                                                                             IL TROVATORE,,SALA DE ORQUESTA,,,
21,08.30-10.00h,E. Luces IL TROVATORE,,,,,,,,,,
,08.30-14.30h,Montaje -16       1ªOPERA TEMPORADA 26/27,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E. Luces IL TROVATORE,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-16.30h,Preparación ensayo,,,,,,,,,,
,16.30-17.00h,Limpieza,,,,,,,,,,
,17.00-22.00h,E.Piano IL TROVATORE (4),,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Jun. 2026   ,22.30-23.15h,Ajustes Técnicos IL TROVATORE,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
SEMANA Nº26   PROVISIONAL,,,,,,,,,,,,
FECHA,ESCENARIO,,SALA GAYARRE,,S.E.P.E,,SALA BALLET,,SALA DE ORQUESTA                                       SALA DE CORO,,OTRAS SALAS,
Lunes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje IL TROVATORE                               Montaje 1º OPERA TEMPORADA 2026/2027,,RESERVADA                                                                                                             IL TROVATORE,,SALA DE ORQUESTA,,,
22,08.30-10.00h,Preparación ensayo,,,,,,,11.30-14.30h,E.Italiana TROVATORE  (1) TBC,,
,08.30-10.00h,Montaje Orquesta,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,16:00:00,RESERVADA FUNDACION ALBENIZ,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-11.30h,Preparación ensayo + Limpieza,,,,,,,,,,
