FECHA,ESCENARIO,Unnamed: 2,SALA GAYARRE,Unnamed: 4,S.E.P.E,Unnamed: 6,SALA BALLET,Unnamed: 8,SALA DE ORQUESTA                                       SALA DE CORO,Unnamed: 10,OTRAS SALAS,Unnamed: 12
SEMANA Nº49   PROVISIONAL,,,,,,,,,,,,
,,,16.00-21.00h. CURSO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Los secretos de la ópera: retórica y significados I,,16.00-19.00h,E.Piano                                   ARIADNA Y BARBAZUL,,,SALA DE CORO,,,
,,,,,,,,,12.00-14.00h,E. Musical CORO,,
Dic. 2025,,,,,,,,,16.00-20.00h,E. Musical CORO,,
,a 00.00h,Desmontaje EVENTO,,,,,,,,,,
Viernes,00.00-07.00h,Desmontaje EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                   ARIADNA Y BARBAZUL,RESERVADA                                                                                               CARMEN,,SALA DE ORQUESTA,,SALÓN DE BAILE,
19,08.30-10.00h,Cambio a CARMEN,10.00-16.00h,RESER,,,,,RESERVADA EVENTO,,19.00h,Flamenco Real 3         3/3
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,21.00h,El Choro & Paula Rodríguez 
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Cambio a CARMEN,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,18.30-19.30h,Vocalización CORO,,
,15.00-16.00h,Cambio a CARMEN,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,16.00-19.00h,E.Piano                                   ARIADNA Y BARBAZUL,,,,,,
,16.00-17.00h,Preparación Función,,,,,,,,,,
,17.00-17.45h,Ensayo Técnico CARMEN ,,,,,,,,,,
,17.45-18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,CARMEN    07/16  REP. A,,,,,,,,,,
Dic. 2025,,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,,
Sábado,00.00-07.00h,Cambio a EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                   ARIADNA Y BARBAZUL,RESERVADA                                                                                               CARMEN,,SALA DE ORQUESTA,,,
20,08.30-10.00h,Dossier Técnico CARMEN,,,,,,,,,,
,08.30-14.30h,Montaje -16  ARIADNA Y BARBAZUL,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
