FECHA,ESCENARIO,Unnamed: 2,SALA GAYARRE,Unnamed: 4,S.E.P.E,Unnamed: 6,SALA BALLET,Unnamed: 8,SALA DE ORQUESTA                                       SALA DE CORO,Unnamed: 10,OTRAS SALAS,Unnamed: 12
SEMANA Nº40   PROVISIONAL,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                                                        MANDARÍN / BARBAZUL,RESERVADA                                                                                        BALLET NACIONAL DE ESPAÑA,,SALA DE ORQUESTA,,SALÓN DE BAILE,
15,08.30-10.00h,E.Luces BNE MEDEA,,,,,,,,,20.00h,Flamenco Real 1        1/3
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,La Moneta & José Fermín Fernández
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,E.Luces BNE MEDEA,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,11.00-14.00h,Formación Coro,S. FELIPE & ARRIETA,
,15.00-16.00h,E.Luces BNE MEDEA,,,,,,,16.00-19.00h,E. Musical Coro,07.00-22.30h,EVENTO MITSUBISHI        (reunión & almuerzo)
,15.30-17.00h,Preparación Ensayo + Limpieza,,,,,,,,,,
,16.30-17.00h,Entrada Bailarines escenario,,,,,,,SALA DE ORQUESTA,,,
,16.00-16.45h,Prueba de Sonido,,,,,,,11.30-13.00h,Grab. Entrevista (Dpto. Producción audiovisual),,
,17.00-21.00h,E.Conjunto BNE MEDEA (2),,,,,,,,,,
,21.00-22.00h,Ensayo con Grabación  BNE MEDEA,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Oct. 2025,22.30-23.15h,Ajustes Tecnicos BNE MEDEA,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Jueves,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-15.00h,E.Piano                                                                  MANDARÍN / BARBAZUL,RESERVADA                                                                                        BALLET NACIONAL DE ESPAÑA,,SALA DE ORQUESTA,,SALÓN DE BAILE,
,08.30-10.00h,E. Luces BNE MEDEA,,,,,,,11.00h,Grabación TÉLLEZ,,
16,08.30-14.30h,Montaje -16 MANDARÍN / BARBAZUL,,,,,,,15.00-20.00h,EXPERIENCIA FORMATIVA IE,20.00h,Flamenco Real 1        2/3
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,La Moneta & José Fermín Fernández
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,SALA DE CORO,,,
,15.00-16.00h,Preparación Función,,,,,,,11.00-14.00h,E. Musical Coro,S. FELIPE & ARRIETA,
,16.00-17.00h,Montaje Orquesta ,,,,,,,16.00-19.00h,E. Musical Coro,08.00-18.30h,EVENTO MITSUBISHI        (reunión & almuerzo)
,16.00-18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.00h,Prueba de Micros,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,BALLET NACIONAL DE ESPAÑA - MEDEA 1/4                                                    Programa A - Segunda Piel,,,,,,,,,,
,,,,,,,,,,,,
Oct. 2025,,,,,,,,,,,,
,a 23.30h,Recogida y finalización actividad,,,,,,,,,,
Viernes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                                                  MANDARÍN / BARBAZUL,RESERVADA                                                                                        BALLET NACIONAL DE ESPAÑA,,SALA DE ORQUESTA,,SALÓN DE BAILE,
17,08.30-10.00h,Montaje -16 MANDARÍN / BARBAZUL,,,,,,,,,20.00h,Flamenco Real 1         3/3
